Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
78,0.780000,-0.352231,1.025769,1.082649,-0.350167,1.165244,1.053952,-0.325734,0.883105,1.067017
79,0.790000,-0.352196,1.025744,1.082638,-0.350122,1.165238,1.053939,-0.325703,0.883097,1.067022
80,0.800000,-0.352231,1.025695,1.082642,-0.350193,1.165179,1.053911,-0.325633,0.883016,1.066950
81,0.810000,-0.352291,1.025689,1.082641,-0.350204,1.165142,1.053901,-0.325110,0.882746,1.066771
82,0.820000,-0.352222,1.025640,1.082589,-0.350240,1.165105,1.053874,-0.325726,0.882987,1.066949
83,0.830000,-0.352254,1.025618,1.082551,-0.350240,1.165100,1.053853,-0.325725,0.882942,1.066926
84,0.840000,-0.352312,1.025612,1.082539,-0.350205,1.165079,1.053825,-0.325788,0.882932,1.066897
85,0.850000,-0.352352,1.025593,1.082502,-0.350275,1.165072,1.053802,-0.325859,0.882936,1.066894
86,0.860000,-0.352269,1.025499,1.082358,-0.350258,1.165053,1.053751,-0.325710,0.882804,1.066781
87,0.870000,-0.352246,1.025515,1.082379,-0.350298,1.165061,1.053758,-0.325725,0.882813,1.066725
88,0.880000,-0.352251,1.025468,1.082301,-0.350311,1.165066,1.053739,-0.325915,0.882945,1.066765
89,0.890000,-0.352323,1.025487,1.082293,-0.350353,1.165059,1.053729,-0.325712,0.882826,1.066698
90,0.900000,-0.352304,1.025472,1.082281,-0.350354,1.165043,1.053722,-0.325884,0.882918,1.066735
91,0.910000,-0.352342,1.025456,1.082293,-0.350406,1.165019,1.053684,-0.325743,0.882789,1.066681
92,0.920000,-0.352346,1.025432,1.082268,-0.350426,1.164989,1.053686,-0.325775,0.882761,1.066667
93,0.930000,-0.352376,1.025405,1.082283,-0.350454,1.164965,1.053683,-0.325776,0.882724,1.066673
94,0.940000,-0.352407,1.025372,1.082265,-0.350456,1.164925,1.053664,-0.325775,0.882689,1.066659
95,0.950000,-0.352402,1.025350,1.082253,-0.350480,1.164885,1.053661,-0.325893,0.882739,1.066711
96,0.960000,-0.352382,1.025325,1.082264,-0.350528,1.164859,1.053666,-0.325779,0.882653,1.066675
97,0.970000,-0.352423,1.025302,1.082268,-0.350533,1.164837,1.053648,-0.325907,0.882727,1.066702
98,0.980000,-0.352403,1.025282,1.082260,-0.350539,1.164821,1.053653,-0.325906,0.882684,1.066691
99,0.990000,-0.352459,1.025258,1.082268,-0.350582,1.164798,1.053656,-0.325932,0.882666,1.066665
100,1.000000,-0.352509,1.025262,1.082251,-0.350609,1.164784,1.053657,-0.325934,0.882641,1.066654
101,1.010000,-0.352559,1.025224,1.082247,-0.350651,1.164760,1.053644,-0.325917,0.882589,1.066630
102,1.020000,-0.352587,1.025231,1.082262,-0.350758,1.164751,1.053688,-0.326010,0.882633,1.066662
103,1.030000,-0.352601,1.025218,1.082240,-0.350779,1.164748,1.053697,-0.326040,0.882637,1.066684
104,1.040000,-0.352620,1.025228,1.082247,-0.350813,1.164756,1.053691,-0.326080,0.882622,1.066663
105,1.050000,-0.352640,1.025234,1.082242,-0.350895,1.164752,1.053692,-0.326094,0.882632,1.066640
106,1.060000,-0.352673,1.025233,1.082247,-0.350930,1.164772,1.053724,-0.326160,0.882656,1.066679
107,1.070000,-0.352707,1.025245,1.082266,-0.350974,1.164782,1.053737,-0.326182,0.882661,1.066683
108,1.080000,-0.352728,1.025240,1.082269,-0.351117,1.164771,1.053768,-0.326231,0.882669,1.066681
109,1.090000,-0.352781,1.025245,1.082297,-0.351207,1.164768,1.053783,-0.326108,0.882567,1.066679
110,1.100000,-0.352793,1.025238,1.082319,-0.351240,1.164770,1.053800,-0.325669,0.882416,1.066604
111,1.110000,-0.352828,1.025237,1.082337,-0.351263,1.164766,1.053816,-0.326155,0.882592,1.066750
112,1.120000,-0.352932,1.025240,1.082397,-0.351303,1.164747,1.053853,-0.326247,0.882633,1.066808
113,1.130000,-0.352964,1.025234,1.082426,-0.351394,1.164749,1.053881,-0.326302,0.882654,1.066863
114,1.140000,-0.352928,1.025225,1.082432,-0.351403,1.164751,1.053911,-0.326257,0.882627,1.066902
115,1.150000,-0.352976,1.025236,1.082477,-0.351434,1.164765,1.053935,-0.326312,0.882666,1.066961
116,1.160000,-0.352977,1.025233,1.082502,-0.351446,1.164753,1.053963,-0.326265,0.882636,1.066959
117,1.170000,-0.352983,1.025242,1.082518,-0.351440,1.164770,1.053970,-0.326307,0.882672,1.067008
118,1.180000,-0.352960,1.025254,1.082537,-0.351491,1.164779,1.054005,-0.325766,0.882454,1.066830
119,1.190000,-0.352956,1.025265,1.082565,-0.351505,1.164794,1.054031,-0.326290,0.882694,1.067059
120,1.200000,-0.352944,1.025283,1.082581,-0.351486,1.164825,1.054035,-0.326307,0.882720,1.067092
121,1.210000,-0.352958,1.025313,1.082623,-0.351465,1.164843,1.054054,-0.326228,0.882715,1.067100
122,1.220000,-0.352931,1.025329,1.082640,-0.351496,1.164848,1.054060,-0.326143,0.882693,1.067106
123,1.230000,-0.352958,1.025358,1.082658,-0.351484,1.164886,1.054065,-0.326231,0.882772,1.067171
124,1.240000,-0.352971,1.025367,1.082686,-0.351513,1.164885,1.054071,-0.326224,0.882805,1.067212
125,1.250000,-0.352981,1.025380,1.082697,-0.351541,1.164909,1.054065,-0.326149,0.882773,1.067208
126,1.260000,-0.353011,1.025380,1.082734,-0.351560,1.164894,1.054068,-0.326266,0.882804,1.067293
127,1.270000,-0.353002,1.025388,1.082741,-0.351570,1.164897,1.054068,-0.326190,0.882797,1.067309
128,1.280000,-0.353029,1.025403,1.082776,-0.351536,1.164897,1.054058,-0.326223,0.882808,1.067382
129,1.290000,-0.353000,1.025396,1.082792,-0.351572,1.164896,1.054052,-0.326181,0.882789,1.067394
130,1.300000,-0.352953,1.025389,1.082776,-0.351570,1.164878,1.054027,-0.326202,0.882798,1.067431
131,1.310000,-0.352957,1.025396,1.082790,-0.351574,1.164888,1.054014,-0.326179,0.882801,1.067468
132,1.320000,-0.352928,1.025379,1.082783,-0.351596,1.164858,1.053977,-0.326195,0.882803,1.067514
133,1.330000,-0.352873,1.025412,1.082828,-0.351504,1.164863,1.053938,-0.326160,0.882793,1.067504
134,1.340000,-0.352860,1.025365,1.082748,-0.351503,1.164836,1.053899,-0.326058,0.882704,1.067482
135,1.350000,-0.352818,1.025359,1.082747,-0.351454,1.164831,1.053863,-0.326113,0.882778,1.067497
136,1.360000,-0.352743,1.025346,1.082712,-0.351368,1.164823,1.053840,-0.326145,0.882797,1.067514
137,1.370000,-0.352658,1.025329,1.082662,-0.351372,1.164787,1.053764,-0.326114,0.882766,1.067515
138,1.380000,-0.352688,1.025334,1.082639,-0.351321,1.164777,1.053706,-0.325968,0.882697,1.067409
139,1.390000,-0.352623,1.025328,1.082592,-0.351315,1.164782,1.053655,-0.326036,0.882735,1.067446
